gnd,year,age,dm1_pop,dm1_dead,cdc_dead,cdc_pop
F,2008,75,1035420,22316,23372,861340
F,2009,75,1076326,22755,22418,842856
F,2010,75,1100646,22516,23124,899069
F,2011,75,1105805,22645,22953,905440
F,2012,75,1133428,22897,22852,913735
F,2013,75,1181122,23862,23565,957852
F,2014,75,1183439,23701,24000,971263
F,2001,76,1178268,29080,31023,925212
F,2002,76,1150118,28535,29721,899159
F,2003,76,1148130,28310,29302,899842
F,2004,76,1121531,26867,28040,895466
F,2005,76,1083870,25951,27241,872922
F,2006,76,1109392,26048,26738,900407
F,2007,76,1041793,24758,25738,866442
F,2008,76,1057761,25193,25482,854043
F,2009,76,1013104,23357,24132,847071
F,2010,76,1053571,24204,23647,823266
F,2011,76,1078130,24269,24646,882622
F,2012,76,1083160,24024,24558,882203
F,2013,76,1110531,24550,24641,890198
F,2014,76,1157260,25411,25278,936270
M,2001,40,2773552,5641,5970,2284503
M,2002,40,2772425,5654,6074,2260679
M,2003,40,2757108,5426,5736,2243727
M,2004,40,2730438,5148,5492,2252988
M,2005,40,2610942,4995,5437,2226254
M,2006,40,2532246,4694,5122,2081774
M,2007,40,2503478,4365,4707,2021075
M,2008,40,2531527,4251,4421,2021855
M,2009,40,2583897,4432,4589,2063870
M,2010,40,2671453,4423,4395,2191249
M,2011,40,2591633,4371,4632,2148028
M,2012,40,2466851,3995,4355,2029390
M,2013,40,2396210,3777,4146,1936508
M,2014,40,2416419,3919,4093,1916261
M,2001,41,2787194,6158,6473,2342019
M,2002,41,2767911,6281,6471,2284301
M,2003,41,2766771,6067,6393,2260614
M,2004,41,2751682,5801,6079,2248606
M,2005,41,2725290,5690,5954,2258597
M,2006,41,2605947,5289,5701,2235552
M,2007,41,2527552,4884,5326,2090954
M,2008,41,2499113,4671,5027,2031178
M,2009,41,2527276,4680,4973,2032646
M,2010,41,2579465,4517,4683,2047818
M,2011,41,2667030,4737,4856,2187138
M,2012,41,2587262,4566,4888,2147646
M,2013,41,2462856,4280,4564,2028536
M,2014,41,2392433,4218,4623,1939916
M,2001,42,2747289,6470,6689,2237740
M,2002,42,2781036,6640,6982,2339185
M,2003,42,2761630,6589,6943,2279589
M,2004,42,2760704,6310,6704,2258953
M,2005,42,2745881,6197,6734,2245748
M,2006,42,2719600,5968,6528,2257544
M,2007,42,2600658,5583,6006,2233912
M,2008,42,2522668,5226,5588,2089575
M,2009,42,2494442,5152,5426,2029246
M,2010,42,2522596,4787,5080,2028653
M,2011,42,2574948,4950,5114,2071160
M,2012,42,2662293,5039,5142,2185851
M,2013,42,2582696,4809,5329,2145858
M,2014,42,2458576,4575,4938,2031325
M,2001,43,2706580,7065,7441,2242083
M,2002,43,2740819,7144,7382,2235579
M,2003,43,2774396,7235,7585,2335874
M,2004,43,2755041,6900,7212,2279113
M,2005,43,2754394,6986,7189,2258382
M,2006,43,2739684,6604,7107,2246886
M,2007,43,2713632,6359,6773,2258746
M,2008,43,2595075,5853,6339,2236079
M,2009,43,2517442,5601,5900,2091675
M,2010,43,2489290,5228,5391,2035990
M,2011,43,2517809,5157,5460,2028670
M,2012,43,2569998,5270,5398,2069535
M,2013,43,2657254,5485,5597,2182953
M,2014,43,2577887,5259,5576,2147656
M,2001,44,2720235,7565,7864,2208570
M,2002,44,2699515,7524,8058,2233678
M,2003,44,2733675,7812,8037,2223641
M,2004,44,2767161,7429,7705,2323552
M,2005,44,2748141,7500,7984,2264181
M,2006,44,2747408,7451,7561,2242649
M,2007,44,2733080,7141,7538,2228489
M,2008,44,2707273,6801,7207,2238412
M,2009,44,2589222,6269,6886,2213137
M,2010,44,2511841,5797,6271,2090267
M,2011,44,2484062,5650,5800,2027163
M,2012,44,2512652,5515,5778,2026572
M,2013,44,2564728,5628,5892,2066137
M,2014,44,2651769,5620,5963,2184235
M,2001,45,2656232,7976,8291,2121944
M,2002,45,2712670,8371,8442,2200968
M,2003,45,2691991,8149,8488,2224414
M,2004,45,2725863,7988,8465,2215272
M,2005,45,2759732,8330,8619,2314057
M,2006,45,2740641,7688,8314,2255226
M,2007,45,2739957,7794,8145,2233025
M,2008,45,2725939,7441,7782,2218446
M,2009,45,2700472,7305,7636,2227071
M,2010,45,2582953,6680,7166,2237450
M,2011,45,2506044,6106,6735,2069751
M,2012,45,2478412,6025,6260,2024091
M,2013,45,2507137,6009,6220,2021957
M,2014,45,2559100,6149,6376,2067223
M,2001,46,2584946,8536,8840,2143311
M,2002,46,2648256,8720,9130,2120188
M,2003,46,2704299,8886,9386,2200290
M,2004,46,2683842,8695,9078,2227648
M,2005,46,2717875,8813,9091,2220792
M,2006,46,2751402,8550,8989,2322962
M,2007,46,2732953,8467,8975,2266159
M,2008,46,2732163,8234,8644,2245998
M,2009,46,2718498,7903,8431,2232877
M,2010,46,2693167,7687,8147,2230982
M,2011,46,2576273,7214,7611,2195885
M,2012,46,2499938,6651,7167,2065705
M,2013,46,2472387,6555,7100,2018553
M,2014,46,2501128,6471,6863,2022698
M,2001,47,2540367,9123,9429,2042517
